'em,514,5590
bed,515,5589
also,516,5583
date,517,5581
line,518,5564
plan,519,5557
hours,520,5503
lose,521,5459
fire,522,5452
free,523,5433
hands,524,5428
serious,525,5390
Leo,526,5390
shit,527,5388
behind,528,5388
inside,529,5379
high,530,5377
ahead,531,5364
week,532,5356
wonderful,533,5341
T,534,5329
fight,535,5326
past,536,5315
cut,537,5305
quite,538,5304
number,539,5289
he'll,540,5262
sick,541,5256
S,542,5255
it'll,543,5217
game,544,5212
eat,545,5202
nobody,546,5195
goes,547,5194
death,548,5165
along,549,5147
save,550,5144
seems,551,5138
finally,552,5118
lives,553,5095
worried,554,5066
upset,555,5064
Theresa,556,5056
Carly,557,5055
Ethan,558,5033
met,559,5032
book,560,5027
brought,561,5010
seem,562,5001
sort,563,5000
safe,564,4999
living,565,4999
children,566,4944
weren't,567,4896
leaving,568,4889
front,569,4868
shot,570,4866
loved,571,4851
asking,572,4851
running,573,4842
clear,574,4836
figure,575,4785
hot,576,4777
felt,577,4748
six,578,4737
parents,579,4725
drink,580,4706
absolutely,581,4704
how's,582,4652
daddy,583,4641
sweet,584,4628
alive,585,4628
Paul,586,4616
sense,587,4597
meant,588,4596
happens,589,4589
David,590,4589
special,591,4573
bet,592,4548
blood,593,4542
ain't,594,4541
kidding,595,4539
lie,596,4536
full,597,4533
meeting,598,4532
dear,599,4516
coffee,600,4499
seeing,601,4495
sound,602,4488
fault,603,4484
water,604,4469
fuck,605,4453
ten,606,4448
women,607,4441
John,608,4413
welcome,609,4373
buy,610,4345
months,611,4333
hour,612,4325
speak,613,4322
lady,614,4301
Jen,615,4301
thinks,616,4298
Christmas,617,4284
body,618,4271
order,619,4270
outside,620,4260
hang,621,4243
possible,622,4228
worse,623,4218
company,624,4209
mistake,625,4185
ooh,626,4184
handle,627,4181
spend,628,4175
C,629,4166
totally,630,4157
giving,631,4143
control,632,4134
here's,633,4130
marriage,634,4129
realize,635,4114
D,636,4108
power,637,4094
president,638,4086
unless,639,4078
sex,640,4049
girls,641,4048
send,642,4045
needed,643,4043
O,644,4030
taken,645,3997
died,646,3996
scared,647,3991
picture,648,3984
talked,649,3975
Jake,650,3962
Al,651,3958
ass,652,3947
hundred,653,3942
changed,654,3929
completely,655,3919
explain,656,3913
playing,657,3899
certainly,658,3895
sign,659,3890
boys,660,3888
relationship,661,3880
Michael,662,3878
loves,663,3876
fucking,664,3843
hair,665,3839
lying,666,3837
choice,667,3828
anywhere,668,3821
secret,669,3810
future,670,3798
weird,671,3797
luck,672,3792
she'll,673,3780
Max,674,3773
Luis,675,3773
turned,676,3770
known,677,3757
touch,678,3755
kiss,679,3750
Crane,680,3744
questions,681,3741
obviously,682,3741
wonder,683,3735
pain,684,3720
calling,685,3714
somewhere,686,3707
throw,687,3697
straight,688,3695
Grace,689,3693
cold,690,3690
white,691,3665
fast,692,3661
Natalie,693,3660
words,694,3647
R,695,3636
food,696,3632
none,697,3615
drive,698,3607
feelings,699,3603
they'll,700,3593
worked,701,3577
marry,702,3564
light,703,3554
test,704,3547
drop,705,3546
cannot,706,3537
Frank,707,3525
sent,708,3524
city,709,3515
dream,710,3471
protect,711,3465
twenty,712,3463
class,713,3458
Lucy,714,3450
surprise,715,3439
its,716,3439
sweetheart,717,3434
forever,718,3432
poor,719,3431
looked,720,3431
mad,721,3407
except,722,3406
gun,723,3396
y'know,724,3395
dance,725,3394
takes,726,3386
appreciate,727,3379
especially,728,3376
situation,729,3359
besides,730,3355
weeks,731,3350
pull,732,3340
himself,733,3331
hasn't,734,3318
act,735,3307
worth,736,3303
Sheridan,737,3299
amazing,738,3294
top,739,3283
given,740,3283
expect,741,3277
Ben,742,3262
rather,743,3241
Julian,744,3240
involved,745,3240
swear,746,3239
piece,747,3239
busy,748,3229
law,749,3225
decided,750,3224
black,751,3217
Joey,752,3216
happening,753,3210
movie,754,3209
we'd,755,3205
catch,756,3194
Antonio,757,3188
country,758,3187
less,759,3173
perhaps,760,3165
step,761,3161
fall,762,3157
watching,763,3152
kept,764,3152
darling,765,3146
dog,766,3141
Ms,767,3131
win,768,3126
air,769,3126
honor,770,3106
personal,771,3103
moving,772,3102
till,773,3091
admit,774,3091
problems,775,3090
murder,776,3089
strong,777,3088
he'd,778,3087
evil,779,3078
definitely,780,3068
feels,781,3067
information,782,3063
honest,783,3063
eye,784,3063
broke,785,3044
missed,786,3043
longer,787,3043
dollars,788,3042
tired,789,3029
Jason,790,3026
George,791,3013
evening,792,2998
human,793,2986
starting,794,2984
Ross,795,2981
red,796,2976
entire,797,2976
trip,798,2975
Brooke,799,2969
E,800,2964
club,801,2963
Niles,802,2956
suppose,803,2952
calm,804,2948
imagine,805,2946
Todd,806,2943
fair,807,2941
caught,808,2933
B,809,2928
blame,810,2923
street,811,2920
sitting,812,2920
favor,813,2920
apartment,814,2920
court,815,2919
terrible,816,2914
clean,817,2914
Tony,818,2913
learn,819,2912
Alison,820,2910
Rick,821,2909
works,822,2903
Rose,823,2890
Frasier,824,2887
relax,825,2877
York,826,2873
million,827,2873
charity,828,2865
accident,829,2860
wake,830,2857
prove,831,2852
Danny,832,2848
smart,833,2847
message,834,2846
missing,835,2845
forgot,836,2845
small,837,2843
interested,838,2838
table,839,2835
nbsp,840,2824
become,841,2816
Craig,842,2810
mouth,843,2807
pregnant,844,2805
middle,845,2802
Billy,846,2797
ring,847,2786
careful,848,2785
shall,849,2779
dude,850,2775
team,851,2773
ride,852,2768
figured,853,2766
wear,854,2765
shoot,855,2759
stick,856,2753
Ray,857,2752
follow,858,2752
Bo,859,2751
angry,860,2747
instead,861,2744
buddy,862,2743
write,863,2741
stopped,864,2719
early,865,2719
Angel,866,2701
Nick,867,2699
ran,868,2692
war,869,2690
standing,870,2690
forgive,871,2690
jail,872,2684
wearing,873,2678
Miguel,874,2678
ladies,875,2670
kinda,876,2662
lunch,877,2660
Cristian,878,2659
eight,879,2655
Greenlee,880,2654
gotten,881,2640
hoping,882,2639
Phoebe,883,2638
thousand,884,2633
ridge,885,2633
music,886,2631
Luke,887,2614
paper,888,2607
tough,889,2606
tape,890,2605
Emily,891,2595
state,892,2592
count,893,2589
college,894,2589
boyfriend,895,2589
proud,896,2586
agree,897,2584
birthday,898,2580
bill,899,2572
seven,900,2569
they've,901,2566
Timmy,902,2565
history,903,2564
share,904,2563
offer,905,2563
hurry,906,2559
ow,907,2557
feet,908,2555
wondering,909,2549
simple,910,2549
decision,911,2548
building,912,2546
ones,913,2539
finish,914,2535
voice,915,2530
herself,916,2530
Chris,917,2529
would've,918,2523
list,919,2518
Kay,920,2517
mess,921,2516
deserve,922,2516
evidence,923,2514
cute,924,2504
Jerry,925,2503
dress,926,2501
Richard,927,2499
interesting,928,2497
Jesus,929,2487
James,930,2478
hotel,931,2463
enjoy,932,2463
Ryan,933,2461
Lindsay,934,2461
quiet,935,2454
concerned,936,2452
road,937,2448
Eve,938,2445
staying,939,2443
short,940,2440
M,941,2440
beat,942,2440
sweetie,943,2439
mention,944,2434
clothes,945,2434
finished,946,2423
fell,947,2419
neither,948,2417
mmm,949,2414
fix,950,2414
Victor,951,2412
respect,952,2410
spent,953,2406
prison,954,2401
attention,955,2397
holding,956,2394
calls,957,2389
near,958,2386
surprised,959,2381
bar,960,2376
Beth,961,2375
pass,962,2374
keeping,963,2371
gift,964,2371
hadn't,965,2369
putting,966,2366
dark,967,2361
self,968,2358
owe,969,2354
using,970,2345
Nora,971,2345
ice,972,2345
helping,973,2342
